개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3740000,202437400000101276,공중화장실,법제3조제16호-영제3조제1항제3호,중부지방국세청,경기도 수원시 장안구 경수대로 1110-17,경기도 수원시 장안구 파장동 216-1,9,11,1,1,0,0,6,1,0,운영지원과 행정팀,,정시,09:00~18:00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:33:01
3740000,202437400000101277,공중화장실,법제3조제16호-영제3조제1항제3호,차세대융합기술연구원,경기도 수원시 영통구 광교로145,경기도 수원시 영통구 이의동 864-1,108,127,3,0,0,0,165,3,0,차세대융합기술연구원,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:32:32
3740000,202437400000101278,공중화장실,법제3조제16호-영제3조제1항제3호,경인지방병무청,경기도 수원시 팔달구 고화로 120,경기도 수원시 팔달구 화서1동 53,21,30,2,0,0,0,15,0,0,경인지방병무청,,정시,09:00~18:00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:31:18
3740000,202437400000101279,공중화장실,법제3조제11호,월드컵주유소,경기도 수원시 영통구 광교로 66(이의동),경기도 수원시 영통구 이의동 1357,1,2,0,0,0,0,2,0,0,월드컵주유소,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:30:53
3740000,202437400000101280,공중화장실,법제3조제1호,쌍우물,경기도 수원시 팔달구 고등로 31 (고등동),경기도 수원시 팔달구 고등동 156-13,2,2,1,1,1,0,5,1,1,팔달구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,남자화장실+여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:30:24
3740000,202437400000101281,공중화장실,법제3조제1호,노송,경기도 수원시 장안구 장안로346번길 70,경기도 수원시 장안구 이목동 산110,3,3,1,1,1,0,6,1,1,장안구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,남자화장실+여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:29:27
3740000,202437400000101282,공중화장실,법제3조제1호,111CM,경기도 수원시 장안구 수성로 195,경기도 수원시 장안구 정자동 111-19,3,3,1,1,1,0,6,1,1,장안구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,남자화장실+여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:29:04
3740000,202437400000101283,공중화장실,법제3조제1호,대유평,"경기도 수원시 장안구 수성로 195, 111CM (정자동)",경기도 수원시 장안구 정자동 948 111CM,4,4,1,1,1,0,8,1,1,장안구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,남자화장실+여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:28:11
3740000,202437400000101284,공중화장실,법제3조제11호,희망주유소,경기도 수원시 권선구 서수원로63번길 171(오목천동),경기도 수원시 권선구 오목천동 893-7,0,0,0,0,0,0,0,0,0,희망주유소,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:26:58
3740000,202437400000101285,공중화장실,법제3조제11호,흠플러스 동수원점,경기도 수원시 팔달구 효원로 257(인계동),경기도 수원시 팔달구 인계동 1045,16,19,2,0,0,3,33,0,0,홈플러스 동수원점,,정시,10:00~24:.00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-23 15:26:35
