개방자치단체코드,관리번호,설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분명,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3740000,202637400000700871,구세군장애인재활작업장,경기도 수원시 권선구 세류동 675-9,경기도,수원시,서민·복지시설,SKB,Public WiFi Free,201301,경기도 수원시 권선구 새터로37번길 7-9(세류동),경기도 수원시 권선구 세류동 675-9,통신사,031-5191-2299,37.25282954,127.0062582,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700872,연무사회복지관,경기도 수원시 장안구 연무동 260-34,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201401,경기도 수원시 장안구 창룡대로 151번길 8,경기도 수원시 장안구 연무동 260-34,통신사,031-5191-2299,37.2918,127.0267,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700873,수원시근로자종합복지관,경기도 수원시 장안구 천천동 522번지,경기도,수원시,서민·복지시설,LGU+,Public WiFi Free,201401,경기도 수원시 장안구 덕영대로 559(천천동),경기도 수원시 장안구 천천동 522번지,통신사,031-5191-2299,37.29495742,126.9821353,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700874,수원역.AK프라자(03017),경기도 수원시 팔달구 매산로1가 18,경기도,수원시,교통시설,KT,Public WiFi Free,201501,경기도 수원시 팔달구 덕영대로 924,경기도 수원시 팔달구 매산로1가 18,통신사,031-5191-2299,37.26567858,127.0000947,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700875,매산시장(03164),경기도 수원시 팔달구 매산로2가 90,경기도,수원시,교통시설,KT,Public WiFi Free,201501,경기도 수원시 팔달구 권선로 477,경기도 수원시 팔달구 매산로2가 90,통신사,031-5191-2299,37.26457205,127.003355,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700876,팔달문_2(03051),경기도 수원시 팔달구 팔달로2가 112-2 팔달문,경기도,수원시,교통시설,KT,Public WiFi Free,201501,경기도 수원시 팔달구 정조로 789,경기도 수원시 팔달구 팔달로2가 112-2,통신사,031-5191-2299,37.27803976,127.0161107,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700877,팔달문_3(03133),경기도 수원시 팔달구 팔달로2가 47-12 팔달문,경기도,수원시,교통시설,KT,Public WiFi Free,201501,경기도 수원시 팔달구 정조로 777,경기도 수원시 팔달구 팔달로2가 47-12,통신사,031-5191-2299,37.27780533,127.0172427,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700878,수원시청역2번출구.벽산그랜드(03089),경기도 수원시 팔달구 인게동 1125-2,경기도,수원시,교통시설,KT,Public WiFi Free,201501,경기도 수원시 팔달구 권광로 146(인계동),경기도 수원시 팔달구 인게동 1125-2,통신사,031-5191-2299,37.26046266,127.0318576,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700879,수원버스터미널(02214),경기도 수원시 권선구 권선2동 1189,경기도,수원시,교통시설,KT,Public WiFi Free,201501,경기도 수원시 권선구 경수대로 270,경기도 수원시 권선구 권선2동 1189,통신사,031-5191-2299,37.25137546,127.0204423,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700880,광교종합사회복지관,경기도 수원시 영통구 이의동 1259-4번지,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 영통구 대학2로 41(이의동),경기도 수원시 영통구 이의동 1259-4번지,통신사,031-5191-2299,37.29934663,127.0466448,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700881,늘봄실버밸리요양원,경기도 수원시 권선구 권선동 945-1번지,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 권선구 세지로126번길 47-22(권선동),경기도 수원시 권선구 권선동 945-1번지,통신사,031-5191-2299,37.26310298,127.0229347,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700882,니도그룹홈,경기도 수원시 영통구 매탄동 231-87번지 3층 302호,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 영통구 신남로29번길 7(매탄동),경기도 수원시 영통구 매탄동 231-87번지,통신사,031-5191-2299,37.265707,127.048536,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700883,로뎀요양원,경기도 수원시 권선구 권선동 1048번지,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 권선구 세권로195번길 20-4(권선동),경기도 수원시 권선구 권선동 1048번지,통신사,031-5191-2299,37.25604536,127.0261024,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700884,마르따의집,경기도 수원시 장안구 천천동 569번지 일성아파트 502-204,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 장안구 정자로19번길 18(천천동),경기도 수원시 장안구 천천동 569번지,통신사,031-5191-2299,37.30069117,126.979409,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700885,몬띠의집,경기도 수원시 장안구 천천동 569번지 일성아파트 505-207,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 장안구 정자로19번길 19(천천동),경기도 수원시 장안구 천천동 569번지,통신사,031-5191-2299,37.300584,126.979405,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700886,브솔그룹홈,경기도 수원시 영통구 매탄2동 1211-1번지 금성아파트 102-105,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 영통구 동탄원천로 1089(매탄동),경기도 수원시 영통구 매탄2동 1211-1번지,통신사,031-5191-2299,37.26783904,127.0551712,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700887,수원시장애인종합복지관,경기도 수원시 영통구 이의동 1088-13,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 영통구 창룡대로 255(이의동),경기도 수원시 영통구 이의동 1088-13,통신사,031-5191-2299,37.29554796,127.0360499,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700888,수원시오목천동장애인주간보호시설,경기도 수원시 권선구 오목천동 197번지,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 권선구 서수원로 124(오목천동),경기도 수원시 권선구 오목천동 197번지,통신사,031-5191-2299,37.23888549,126.9722446,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700889,수원권선지역아동센터,경기도 수원시 권선구 권선1동 954-1,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 권선구 세지로112번길 25-22(권선동),경기도 수원시 권선구 권선1동 954-1,통신사,031-5191-2299,37.2622419,127.0212209,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700890,호매실장애인종합복지관,경기도 수원시 권선구 호매실동 1385번지,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 권선구 호매실로 211(호매실동),경기도 수원시 권선구 호매실동 1385번지,통신사,031-5191-2299,37.26316936,126.9566874,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700891,한국장애인교육문화협회 수원시지회,경기도 수원시 영통구 매탄3동 1169-4번지,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 영통구 매탄로 53-1(매탄동),경기도 수원시 영통구 매탄3동 1169-4번지,통신사,031-5191-2299,37.25615662,127.0405717,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700892,수원시장애인심부름센터,경기도 수원시 권선구 호매실동 1385번지,경기도,수원시,서민·복지시설,KT,Public WiFi Free,201501,경기도 수원시 권선구 호매실로 211(호매실동),경기도 수원시 권선구 호매실동 1385번지,통신사,031-5191-2299,37.26316936,126.9566874,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
3740000,202637400000700893,서호체육센터,경기도 수원시 팔달구 화서2동 410-6번지,경기도,수원시,편의시설,KT,Public WiFi Free,201501,경기도 수원시 팔달구 수성로 120(화서동),경기도 수원시 팔달구 화서2동 410-6번지,통신사,031-5191-2299,37.28420684,126.9867613,2026-05-12,I,2026-05-15 18:45:29,2026-05-12 16:18:07
